timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;250000;255000;260000;265000;267559
messages-soc-custom-141;0;5;7;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-139;0;5;7;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-137;0;5;7;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-138;0;5;7;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-135;0;5;7;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-136;0;5;7;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-133;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-134;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-131;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-132;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-250;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-130;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-5;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-6;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-3;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-4;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-1;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-2;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-128;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-249;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-custom-129;0;5;7;7;7;7;7;7;7;7;7;7
messages-soc-humidity;0;11;13;13;13;13;13;13;13;13;13;13
messages-iot-controller;34;1312;2049;2049;2050;2050;2051;2051;2060;2064;2064;2064
messages-soc-temperature;0;1;0;0;0;0;0;0;0;0
messages-soc-gate;0;1;7;9;0;0;0;0;0;0
proposals-total;0;0;1142;1642;1642;1642;1642;1642;1642;1642;1642;1642;1642
proposals-soc-light;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-smoke;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-desktop;0;0;4;6;6;6;6;6;6;6;6;6;6
proposals-soc-custom-126;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-247;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-127;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-248;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-124;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-245;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-125;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-246;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-printer;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-custom-122;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-243;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-123;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-244;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-120;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-241;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-121;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-242;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-240;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-16;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-17;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-14;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-15;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-18;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-19;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-12;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-119;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-13;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-10;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-117;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-238;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-11;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-118;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-239;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-115;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-236;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-116;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-237;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-113;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-234;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-114;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-235;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-111;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-232;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-112;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-233;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-230;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-110;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-231;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-27;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-28;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-25;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-26;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-29;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-20;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-23;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-108;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-229;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-24;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-109;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-21;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-106;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-227;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-22;0;0;3;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-107;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-228;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-104;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-225;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-105;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-226;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-223;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-102;0;0;3;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-103;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-224;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-100;0;0;2;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-221;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-101;0;0;3;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-222;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-220;0;1;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-motion;0;8;19;19;19;19;19;19;19;19;19;19;19
proposals-soc-custom-218;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-219;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-216;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-217;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-server;0;0;7;7;7;7;7;7;7;7;7;7;7
proposals-soc-custom-214;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-215;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-212;0;1;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-213;0;0;2;2;2;2;2;2;2;2;2;2;2
proposals-soc-custom-210;0;0;3;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-211;0;0;3;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-209;0;0;3;3;3;3;3;3;3;3;3;3;3
proposals-soc-custom-207;0;0;3;3;3;3;3;3;3;3;3;3;3
