riskDamage-%-server;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063
riskDamage-iot-controller;79,64;79,64;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35
riskDamage-%-iot-controller;0,1252;0,1252;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990
riskDamage-soc-gate;23,89;23,89;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-gate;0,0376;0,0376;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-smoke;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-smoke;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-desktop;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-desktop;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-light;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
