timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;250000;255000;260000;265000;270000;275000;280000;285000;290000;295000;300000;305000;310000;315000;320000;325000;330000;335000;337972
riskDamage-soc-custom-27;79,64;79,64
riskDamage-%-soc-custom-27;0,1252;0,1252
riskDamage-soc-custom-28;79,64;79,64
riskDamage-%-soc-custom-28;0,1252;0,1252
riskDamage-soc-custom-25;79,64;79,64
riskDamage-%-soc-custom-25;0,1252;0,1252
riskDamage-soc-custom-26;79,64;79,64
riskDamage-%-soc-custom-26;0,1252;0,1252
riskDamage-soc-custom-29;79,64;79,64
riskDamage-%-soc-custom-29;0,1252;0,1252
riskDamage-soc-custom-20;79,64;79,64
riskDamage-%-soc-custom-20;0,1252;0,1252
riskDamage-soc-light;79,64;79,64
riskDamage-%-soc-light;0,1252;0,1252
riskDamage-soc-custom-23;79,64;79,64
riskDamage-%-soc-custom-23;0,1252;0,1252
riskDamage-soc-custom-24;79,64;79,64
riskDamage-%-soc-custom-24;0,1252;0,1252
riskDamage-soc-custom-21;79,64;79,64
riskDamage-%-soc-custom-21;0,1252;0,1252
riskDamage-soc-custom-22;79,64;79,64
riskDamage-%-soc-custom-22;0,1252;0,1252
riskDamage-soc-motion;83,60;83,60
riskDamage-%-soc-motion;0,1315;0,1315
riskDamage-soc-humidity;83,60;83,60
riskDamage-%-soc-humidity;0,1315;0,1315
riskDamage-server;3,98;3,98
riskDamage-%-server;0,0063;0,0063
riskDamage-soc-smoke;79,64;79,64
riskDamage-%-soc-smoke;0,1252;0,1252
riskDamage-soc-custom-50;79,64;79,64
riskDamage-%-soc-custom-50;0,1252;0,1252
riskDamage-iot-controller;79,64;317,35
riskDamage-%-iot-controller;0,1252;0,4990
riskDamage-soc-custom-38;79,64;79,64
riskDamage-%-soc-custom-38;0,1252;0,1252
riskDamage-soc-custom-39;79,64;79,64
riskDamage-%-soc-custom-39;0,1252;0,1252
riskDamage-soc-custom-36;79,64;79,64
riskDamage-%-soc-custom-36;0,1252;0,1252
riskDamage-soc-custom-37;79,64;79,64
riskDamage-%-soc-custom-37;0,1252;0,1252
riskDamage-soc-custom-30;79,64;79,64
riskDamage-%-soc-custom-30;0,1252;0,1252
riskDamage-soc-custom-31;79,64;79,64
riskDamage-%-soc-custom-31;0,1252;0,1252
riskDamage-soc-custom-34;79,64;79,64
riskDamage-%-soc-custom-34;0,1252;0,1252
riskDamage-soc-custom-35;79,64;79,64
riskDamage-%-soc-custom-35;0,1252;0,1252
riskDamage-soc-custom-32;79,64;79,64
riskDamage-%-soc-custom-32;0,1252;0,1252
riskDamage-soc-custom-33;79,64;79,64
riskDamage-%-soc-custom-33;0,1252;0,1252
riskDamage-soc-door-lock;111,35;111,35
riskDamage-%-soc-door-lock;0,1751;0,1751
riskDamage-soc-custom-49;79,64;79,64
riskDamage-%-soc-custom-49;0,1252;0,1252
riskDamage-soc-custom-47;79,64;79,64
riskDamage-%-soc-custom-47;0,1252;0,1252
riskDamage-soc-custom-48;79,64;79,64
